# lmb,energy
0.000000000000000000e+00,2.814738664007063740e-01
1.000000000000000056e-01,5.296719317412059702e-01
2.000000000000000111e-01,7.783703965940101943e-01
3.000000000000000444e-01,1.027779699887062970e+00
4.000000000000000222e-01,1.278037957813517922e+00
5.000000000000000000e-01,1.528195449456846822e+00
6.000000000000000888e-01,1.770591553616468250e+00
7.000000000000000666e-01,1.827953494659979583e+00
8.000000000000000444e-01,1.569186815588405004e+00
9.000000000000000222e-01,1.277227560020167019e+00
