# lmb,energy
0.000000000000000000e+00,1.650652950000000095e-10
1.000000000000000056e-01,2.998823570492716861e-01
2.000000000000000111e-01,5.994286881133167322e-01
3.000000000000000444e-01,8.983648517832185654e-01
4.000000000000000222e-01,1.196009950372266761e+00
5.000000000000000000e-01,1.490098048677553244e+00
6.000000000000000888e-01,1.766761924229278469e+00
7.000000000000000666e-01,1.827953494673800083e+00
8.000000000000000444e-01,1.569186815429413295e+00
9.000000000000000222e-01,1.277227560077901725e+00
